Run case 1
HPWL, seed
84009,1432
83039,1389
81603,1415
83147,1378
82286,1409
82848,1394
85255,1420
80239,1408
83738,1413
82918,1382
84230,1406
83223,1424
82282,1388
83401,1430
82848,1394
84537,1411
81185,1397
81017,1470
81571,1393
85004,1434
84537,1411
83862,1421
83223,1424
86109,1419
83039,1389
84537,1411
82848,1394
81710,1414
84429,1398
84881,1390
81710,1414
84031,1386
81644,1412
82848,1391
82662,1428
83161,1383
84881,1390
86109,1419
84537,1411
82286,1409
84004,1423
81807,1387
83461,1475
84031,1386
82918,1382
80659,1396
81196,1438
84031,1386
83693,1425
84690,1616
82010,1600
83340,1632
81138,1629
81138,1629
82852,1613
82010,1600
81138,1629
81413,1603
82585,1642
81351,1607
82099,1639
81413,1603
81657,1628
81413,1603
82105,1638
82715,1596
83792,1631
81413,1603
83344,1615
83491,1585
84276,1627
83789,1625
84170,1580
85516,1650
83253,1606
82105,1638
83738,1601
83163,1649
83253,1606
82535,1635
82715,1596
83344,1615
83664,1591
80888,1689
82361,1597
82620,1630
82361,1597
82301,1633
83155,1582
84690,1616
81112,1626
83241,1634
83738,1601
83241,1634
83664,1591
83241,1634
84153,1594
83578,1641
81118,1605
81120,1619
81351,1607
82105,1638
82027,1587
82099,1639
83381,1595
83792,1631
82803,1586
82636,1617
83312,1589
81112,1626
81616,1571
79832,1640
82361,1597
81100,1643
81879,1588
85516,1650
83738,1601
81100,1643
82010,1600
84276,1627
81351,1607
84276,1627
82715,1596
83792,1631
82361,1597
83578,1641
81413,1603
79429,1624
81657,1628
82944,1566
83316,1648
82538,1598
82344,1637
81118,1605
83340,1632
84690,1616
81776,1651
83253,1606
81120,1619
81879,1588
83998,1621
82027,1587
83789,1625
81140,1584
81138,1629
82715,1596
82636,1617
83344,1615
82535,1635
84662,1602
84276,1627
80352,1583
84832,1659
81493,1610
83397,1647
81118,1605
82852,1613
82585,1642
82715,1596
84903,1714
85059,1604
81100,1643
84153,1594
84982,1620
84717,1593
84276,1627
83738,1601
81692,1623
81112,1626
81155,1653
83738,1601
83346,1764
82715,1596
81112,1626
83253,1606
81413,1603
84717,1593
81770,1592
83381,1595
82361,1597
82535,1635
81501,1579
82010,1600
82636,1617
81140,1584
83381,1595
85059,1604
84662,1602
82538,1598
83077,1702
82099,1639
82538,1598
83578,1641
85059,1604
82099,1639
84717,1593
82620,1630
83253,1606
82620,1630
83738,1601
82344,1637
82361,1597
81692,1623
81118,1605
81100,1643
83998,1621
83595,1562
81776,1651
85059,1604
83316,1648
81118,1605
82585,1642
82044,1612
82852,1613
84982,1620
82044,1612
82538,1598
82165,1703
84153,1594
82105,1638
83738,1601
82585,1642
84690,1616
84327,1705
83381,1595
83792,1631
82620,1630
83568,1611
84082,1688
83738,1601
81118,1605
83344,1615
82044,1612
84662,1602
82852,1613
82099,1639
82361,1597
82620,1630
81879,1588
81138,1629
82027,1587
84717,1593
83738,1601
84982,1620
81770,1592
84561,1707
82538,1598
82010,1600
82585,1642
83998,1621
83006,1699
83568,1611
83344,1615
81084,1655
84153,1594
81692,1623
81351,1607
81451,1704
83312,1589
83141,1622
85059,1604
82620,1630
83381,1595
83789,1625
84717,1593
83602,1618
82636,1617
81413,1603
81100,1643
84662,1602
82099,1639
82538,1598
82099,1639
83253,1606
83578,1641
81770,1592
83340,1632
84153,1594
81120,1619
81413,1603
79429,1624
83312,1589
83792,1631
84717,1593
82361,1597
83738,1601
83599,1646
81451,1704
81692,1623
83474,1678
83253,1606
81413,1603
81764,1693
82010,1600
83280,1590
84717,1593
82314,1766
82861,1885
83819,1873
82861,1885
82861,1885
83074,2288
84580,2331
84532,2302
82823,2360
84467,2310
81949,2354
80149,2285
81737,2371
82662,2338
83331,2346
82985,2306
82914,2342
82609,2303
80122,2382
82568,2293
81129,2363
83389,2300
82388,2356
80873,2315
81542,2463
82985,2306
83595,2423
82734,2291
84120,2325
83389,2300
82609,2303
83515,2307
82996,2365
82609,2303
81347,2359
83826,2311
83010,2296
83354,2308
85962,2294
83245,2284
81906,2329
82758,2361
84434,2309
82692,2455
83759,2282
81949,2354
83354,2308
82489,2341
83484,2297
87018,2470
83854,2317
82927,2312
82906,2352
83640,2321
80967,2289
81444,2344
84383,2320
82489,2341
83484,2297
82489,2341
83640,2321
83202,2283
82823,2360
83354,2308
83520,2350
81235,2314
82914,2342
85962,2294
83854,2317
84918,2301
82662,2338
83441,2263
85211,2372
80873,2315
82906,2352
84532,2302
81631,2348
81235,2314
81563,2379
82568,2293
84559,2330
84918,2301
82133,2287
84434,2309
80967,2289
81913,2339
81554,649
83444,708
83301,656
83138,671
80551,663
84580,653
82177,672
84580,653
80551,663
84923,698
81554,649
84580,653
81704,654
82816,655
82715,704
81665,696
82056,705
83364,749
82841,735
82456,747
82890,800
81088,788
82809,803
81234,851
81353,858
84055,898
81476,928
82906,927
81665,1005
81825,1010
82735,1105
82735,1105
83038,1114
83428,1120
81418,1226
81752,1256
82964,1233
83125,1243
81300,1254
82906,1267
81971,1229
84349,1252
81791,1220
82659,1251
84038,1222
82311,1230
85956,1257
80538,1246
82539,1236
83825,1247
83825,1247
82482,1224
84349,1252
82311,1230
82311,1230
83634,1241
79431,1225
83944,1263
80924,1232
82847,1355
82780,1473
84033,1384
82533,1410
81185,1397
81710,1414
84031,1386
83223,1424
84033,1384
86224,1399
82486,1416
81169,1379
80239,1408
82120,1381
82486,1416
83862,1421
83585,1435
83232,1392
85349,1431
83161,1383
81710,1414
83671,1402
84004,1423
81379,1377
84031,1386
82347,1405
82533,1410
82486,1416
83232,1392
84004,1423
84033,1384
81644,1412
80239,1408
83608,1418
84881,1390
83223,1424
84230,1406
82286,1409
84537,1411
81614,1429
80659,1396
82563,1417
83240,1395
84429,1398
80659,1396
81807,1387
82848,1394
82918,1382
83738,1413
82852,1613
83584,1652
82535,1635
81138,1629
83602,1618
82044,1612
83568,1611
80563,1608
83381,1595
83783,1599
84276,1627
81879,1588
83998,1621
82361,1597
82620,1630
82538,1598
81770,1592
84355,1553
82044,1612
81155,1653
82852,1613
81657,1628
83998,1621
82620,1630
82636,1617
82044,1612
81657,1628
82538,1598
81657,1628
82538,1598
81112,1626
84717,1593
83792,1631
84276,1627
83789,1625
82361,1597
85059,1604
82344,1637
82538,1598
83163,1649
83253,1606
82344,1637
83998,1621
81100,1643
84153,1594
82344,1637
82715,1596
81148,1674
83738,1601
84276,1627
85059,1604
83381,1595
82361,1597
82538,1598
84982,1620
84690,1616
81118,1605
83253,1606
82010,1600
80493,1784
80851,2003
82568,2293
82985,2306
83622,2863
81935,3040
83181,2993
81696,3014
82414,2980
82414,2980
81745,2992
80984,2973
81244,2960
83535,2970
84159,2962
82849,2976
84580,653
81613,713
81716,666
80727,667
84769,658
81981,670
81613,713
83013,669
82715,704
81865,712
81984,688
82724,741
85074,727
83857,748
84655,793
81926,775
83223,787
81986,846
84490,845
84606,894
82483,931
82403,916
85861,1024
80595,1000
83249,1129
82450,1107
83125,1243
81002,1339
83240,1395
82301,1633
82010,1600
82538,1598
81616,1571
81657,1628
82010,1600
82044,1612
83602,1618
83578,1641
82852,1613
81493,1610
83141,1622
81493,1610
81112,1626
83738,1601
81692,1623
83783,1599
81657,1628
82715,1596
82301,1633
82361,1597
81692,1623
80563,1608
82620,1630
83218,1614
82620,1630
83602,1618
83792,1631
82636,1617
82099,1639
82803,1586
83218,1614
82538,1598
79429,1624
81770,1592
82535,1635
82538,1598
84690,1616
81118,1605
82620,1630
83738,1601
84690,1616
83599,1646
81120,1619
83792,1631
82301,1633
81184,1644
83568,1611
83602,1618
82538,1598
83998,1621
80563,1608
82361,1597
82361,1597
82044,1612
81120,1619
83568,1611
83381,1595
82852,1613
82773,1828
80133,2081
83245,2284
82918,2775
82140,3924
80681,3920
84076,3985
82129,3891
83761,3892
81716,666
83748,687
82830,664
83301,656
81543,717
81981,670
83195,659
80551,663
81704,654
82256,720
83709,700
81083,694
81396,706
83269,739
83047,746
81539,742
83069,779
82027,792
83223,787
81088,788
83223,787
81714,868
81958,839
82676,854
82996,850
84451,853
81551,841
83180,855
82070,847
82070,847
82070,847
81797,943
82457,935
82991,936
83469,926
83387,934
82049,929
81578,933
82483,931
83387,934
83416,911
83767,908
83277,925
82719,924
82049,929
82209,919
81476,928
84370,922
82049,929
82055,923
83508,932
81927,910
80222,912
83277,925
83317,939
82906,927
82403,916
84262,938
84370,922
83469,926
84788,920
83469,926
83702,892
82633,983
83471,1016
82863,1034
82377,1117
84655,1081
81224,1099
83289,1206
80538,1246
82848,1394
83030,1452
81100,1643
81614,1656
83316,1648
83013,669
81981,670
83138,671
81980,729
82546,722
81980,729
81043,682
82177,672
80551,663
84432,769
85971,660
83343,662
83317,675
84134,657
83905,716
83138,671
84021,652
83317,675
82830,664
81716,666
83138,671
84769,658
80727,667
83301,656
83195,659
83013,669
82643,650
83542,710
83013,669
83301,656
82161,668
84580,653
81518,723
83301,656
84769,658
83013,669
83195,659
83562,721
82816,655
79989,718
86155,702
82668,690
83857,748
82408,740
83899,733
81081,810
82708,780
82930,795
84490,845
84451,853
82781,897
84262,938
82209,919
81881,1019
83016,1006
82050,1103
82994,1121
83125,1243
84136,1330
82486,1416
81169,1379
82568,1403
82662,1428
83232,1392
85004,1434
86224,1399
86109,1419
83240,1395
84009,1432
83863,1385
81603,1415
81571,1393
83738,1413
82347,1405
84004,1423
84067,1422
81603,1415
81571,1393
82662,1428
81185,1397
83223,1424
82848,1394
83608,1418
81571,1393
81710,1414
84067,1422
80659,1396
83862,1421
81710,1414
81370,1407
81710,1414
82848,1394
80239,1408
84881,1390
84004,1423
82918,1382
85255,1420
83693,1425
83039,1389
82286,1409
81169,1379
81370,1407
83693,1425
82130,1380
82286,1409
82120,1381
85255,1420
83738,1413
81474,1427
85687,1404
83738,1413
82486,1416
80022,1354
81603,1415
86224,1399
85004,1434
82286,1409
83210,1400
82568,1403
81603,1415
84516,1401
81603,1415
82568,1403
81710,1414
82568,1403
84009,1432
82282,1388
86109,1419
83210,1400
84067,1422
83240,1395
86224,1399
84537,1411
84336,1365
80888,1689
81879,1588
84982,1620
83281,1864
82783,2444
83367,2989
83676,2978
82911,3945
81338,3935
78247,3951
82424,3893
84574,3944
82921,3958
82057,3926
82969,3980
82266,3976
85260,3906
83743,4009
78247,3951
82108,3979
84148,3949
83265,3975
82945,3942
82045,3982
80929,3938
82969,3980
84654,3940
83380,3963
81338,3935
81220,3977
82534,3989
84148,3949
84076,3985
81316,3968
82541,2615
79654,2006
83792,1631
82044,1612
79429,1624
81112,1626
82620,1630
82636,1617
83789,1625
83344,1615
83602,1618
83340,1632
82535,1635
83792,1631
81155,1653
83141,1622
82301,1633
83316,1648
82620,1630
83738,1601
83934,1716
81138,1629
79429,1624
83344,1615
84982,1620
81120,1619
83071,1636
82852,1613
83071,1636
83568,1611
82620,1630
82715,1596
79429,1624
84276,1627
81138,1629
81084,1655
81120,1619
81184,1644
83568,1611
83241,1634
83789,1625
83316,1648
83218,1614
81692,1623
84717,1593
82099,1639
83344,1615
82105,1638
81112,1626
81657,1628
81657,1628
81138,1629
83340,1632
82620,1630
81138,1629
83584,1652
83141,1622
79832,1640
84982,1620
83584,1652
79429,1624
82301,1633
83568,1611
82620,1630
83568,1611
79429,1624
84982,1620
82099,1639
79429,1624
82105,1638
82301,1633
81120,1619
82852,1613
82535,1635
82010,1600
82872,1660
83998,1621
81138,1629
82852,1613
81895,1669
83998,1621
81657,1628
82099,1639
83738,1601
83218,1614
83340,1632
80563,1608
81112,1626
81120,1619
82301,1633
82852,1613
81692,1623
84717,1593
83792,1631
83141,1622
83584,1652
82538,1598
83340,1632
81846,1882
84832,1659
82069,1755
81493,1610
82585,1642
84276,1627
83316,1648
83141,1622
82636,1617
82585,1642
86718,1609
81692,1623
83218,1614
83141,1622
82636,1617
83789,1625
84662,1602
83602,1618
81138,1629
82301,1633
82010,1600
82636,1617
80608,1696
83344,1615
79832,1640
83141,1622
83241,1634
82620,1630
82301,1633
83100,1645
81138,1629
83344,1615
79429,1624
82010,1600
84276,1627
84662,1602
81692,1623
83738,1601
82344,1637
81657,1628
83340,1632
81100,1643
82585,1642
80563,1608
81112,1626
82636,1617
82344,1637
81413,1603
81084,1655
83998,1621
81138,1629
82715,1596
82301,1633
81351,1607
83340,1632
84153,1594
83141,1622
81120,1619
79429,1624
86718,1609
84276,1627
83253,1606
82105,1638
83568,1611
83397,1647
81120,1619
83163,1649
82099,1639
82044,1612
82344,1637
83344,1615
81138,1629
83218,1614
83789,1625
83998,1621
84982,1620
84690,1616
82044,1612
83344,1615
83340,1632
83071,1636
83141,1622
83397,1647
83789,1625
83071,1636
83789,1625
82620,1630
79832,1640
80563,1608
84982,1620
81138,1629
82625,1752
84858,1991
81587,2622
83730,3026
82927,4003
80980,3913
85585,3934
84273,3952
83905,716
85971,660
83385,714
85971,660
84769,658
81242,665
84134,657
84769,658
84769,658
83138,671
82177,672
82830,664
85971,660
84935,715
83283,661
82816,655
82830,664
84024,674
84935,715
81716,666
82816,655
85971,660
83283,661
81716,666
83343,662
82816,655
84935,715
